book_number	chapter	verse	text
10	3	14	Wtedy PAN Bóg powiedział do węża: Ponieważ to uczyniłeś, będziesz przeklęty wśród wszelkiego bydła i wśród wszelkich zwierząt polnych. Na brzuchu będziesz się czołgać i proch będziesz jeść po wszystkie dni swego życia.
10	3	15	I wprowadzę nieprzyjaźń między tobą a kobietą, między twoim potomstwem a jej potomstwem. Ono zrani ci głowę, a ty zranisz mu piętę.
10	3	16	A do kobiety powiedział: Wielce pomnożę twoje cierpienia i twoje poczęcia, w bólu będziesz rodzić dzieci. Twoje pragnienie będzie ku twemu mężowi, a on będzie nad tobą panować.
10	3	17	Do Adama zaś powiedział: Ponieważ usłuchałeś głosu swojej żony i zjadłeś z drzewa, o którym ci przykazałem, mówiąc: Nie będziesz z niego jadł – przeklęta będzie ziemia z twego powodu, w trudzie będziesz z niej spożywać po wszystkie dni twego życia.
10	3	18	Ona będzie ci rodzić ciernie i oset i będziesz spożywał rośliny polne.
10	3	19	W pocie czoła będziesz spożywał chleb, aż wrócisz do ziemi, gdyż z niej zostałeś wzięty. Bo jesteś prochem i w proch się obrócisz.
10	3	20	I Adam nadał swojej żonie imię Ewa, bo ona była matką wszystkich żyjących.
10	3	21	I PAN Bóg sporządził dla Adama i jego żony odzienie ze skór i przyodział ich.
10	3	22	Wtedy PAN Bóg powiedział: Oto człowiek stał się jak jeden z nas, znający dobro i zło. Wygnajmy go więc, aby nie wyciągnął swej ręki i nie wziął z drzewa życia, by jeść i żyć na wieki.
10	3	23	PAN Bóg wydalił go więc z ogrodu Eden, aby uprawiał ziemię, z której został wzięty.
10	3	24	Tak wygnał człowieka i postawił na wschód od ogrodu Eden cherubinów i płomienisty miecz obracający się we wszystkie strony, aby strzegły drogi do drzewa życia.
10	4	1	Potem Adam obcował ze swoją żoną Ewą, a ta poczęła i urodziła Kaina. I powiedziała: Otrzymałam mężczyznę od PANA.
10	4	2	I urodziła jeszcze jego brata Abla. Abel był pasterzem owiec, a Kain był rolnikiem.
10	4	3	Z biegiem czasu zdarzyło się, że Kain przyniósł PANU ofiarę z plonów ziemi.
10	4	4	Także Abel przyniósł z pierworodnych swej trzody i z ich tłuszczu. A PAN wejrzał na Abla i jego ofiarę.
10	4	5	Lecz na Kaina i jego ofiarę nie wejrzał. Kain rozgniewał się bardzo i spochmurniała jego twarz.
10	4	6	Wtedy PAN zapytał Kaina: Dlaczego się rozgniewałeś? Czemu spochmurniała twoja twarz?
10	4	7	Jeśli będziesz dobrze czynił, czy nie zostaniesz wywyższony? A jeśli nie będziesz dobrze czynił, grzech leży u drzwi; a do ciebie będzie jego pragnienie, a ty będziesz nad nim panować.
10	4	8	I Kain rozmawiał ze swoim bratem Ablem. A gdy byli na polu, Kain powstał przeciwko swemu bratu Ablowi i zabił go.
10	4	9	Wtedy PAN zapytał Kaina: Gdzie jest twój brat Abel? On odpowiedział: Nie wiem. Czy ja jestem stróżem mego brata?
10	4	10	Bóg zapytał: Cóż uczyniłeś? Głos krwi twego brata woła do mnie z ziemi.
10	4	11	Teraz więc przeklęty będziesz na ziemi, która otworzyła swe usta, aby przyjąć krew twego brata przelaną przez twoją rękę.
10	4	12	Gdy będziesz uprawiał ziemię, nie da ci już swego plonu. Tułaczem i zbiegiem będziesz na ziemi.
10	4	13	Wtedy Kain powiedział do PANA: Zbyt ciężka jest moja kara, bym mógł ją znieść.
10	4	14	Oto wyganiasz mnie dziś z powierzchni ziemi, a przed twoją twarzą będę ukryty. Będę tułaczem i zbiegiem na ziemi, a stanie się tak, że ktokolwiek mnie spotka, zabije mnie.
10	4	15	PAN mu odpowiedział: Zaprawdę, ktokolwiek zabije Kaina, poniesie siedmiokrotną zemstę. I nałożył PAN na Kaina piętno, aby nie zabił go nikt, kto by go spotkał.
10	4	16	Wtedy odszedł Kain sprzed oblicza PANA i zamieszkał w ziemi Nod, na wschód od Edenu.
10	4	17	I Kain obcował ze swoją żoną, a ona poczęła i urodziła Henocha. Zbudował też miasto i nazwał je imieniem swego syna – Henoch.
10	4	18	Henochowi urodził się Irad, a Irad spłodził Mechujaela, a Mechujael spłodził Matuszaela, a Matuszael spłodził Lameka.
10	4	19	I Lamek pojął sobie dwie żony. Imię jednej było Ada, a drugiej – Silla.
10	4	20	Ada urodziła Jabala, który był ojcem mieszkających w namiotach i pasterzy.
10	4	21	Jego brat miał na imię Jubal, a był on ojcem wszystkich grających na harfie i na flecie.
10	4	22	Silla urodziła Tubalkaina, który był rzemieślnikiem wszelkiej roboty od miedzi i żelaza. Siostrą Tubalkaina była Noema.
10	4	23	I Lamek powiedział swym żonom, Adzie i Silli: Słuchajcie mego głosu, żony Lameka, posłuchajcie moich słów; zabiłem mężczyznę za zranienie mnie i młodzieńca za siniec.
10	4	24	Jeśli Kain ma być pomszczony siedem razy, to Lamek siedemdziesiąt siedem razy.
10	4	25	I Adam znów obcował ze swoją żoną, a ona urodziła syna i nadała mu imię Set, mówiąc: Dał mi Bóg inne potomstwo za Abla, którego zabił Kain.
10	4	26	Setowi też urodził się syn i nadał mu imię Enosz. Wtedy zaczęto wzywać imienia PANA.
10	5	1	To jest księga rodu Adama. W dniu, w którym Bóg stworzył człowieka, uczynił go na podobieństwo Boga.
10	5	2	Stworzył ich mężczyzną i kobietą; błogosławił ich i nadał im imię Adam w dniu, w którym zostali stworzeni.
10	5	3	Adam żył sto trzydzieści lat i spłodził syna na swoje podobieństwo, na swój obraz, i nadał mu imię Set.
10	5	4	A dni Adama po spłodzeniu Seta było osiemset lat i spłodził synów i córki.
10	5	5	A tak wszystkich dni, które żył Adam, było dziewięćset trzydzieści lat i umarł.
10	5	6	Set żył sto pięć lat i spłodził Enosza.
10	5	7	Po spłodzeniu Enosza Set żył osiemset siedem lat i spłodził synów i córki.
10	5	8	Wszystkich dni Seta było dziewięćset dwanaście lat i umarł.
10	5	9	Enosz żył dziewięćdziesiąt lat i spłodził Kenana.
10	5	10	Po spłodzeniu Kenana Enosz żył osiemset piętnaście lat i spłodził synów i córki.
10	5	11	Wszystkich dni Enosza było dziewięćset pięć lat i umarł.
10	5	12	Kenan żył siedemdziesiąt lat i spłodził Mahalaleela.
10	5	13	Po spłodzeniu Mahalaleela Kenan żył osiemset czterdzieści lat i spłodził synów i córki.
10	5	14	Wszystkich dni Kenana było dziewięćset dziesięć lat i umarł.
10	5	15	Mahalaleel żył sześćdziesiąt pięć lat i spłodził Jareda.
10	5	16	Po spłodzeniu Jareda Mahalaleel żył osiemset trzydzieści lat i spłodził synów i córki.
10	5	17	Wszystkich dni Mahalaleela było osiemset dziewięćdziesiąt pięć lat i umarł.
10	5	18	Jared żył sto sześćdziesiąt dwa lata i spłodził Henocha.
10	5	19	Po spłodzeniu Henocha Jared żył osiemset lat i spłodził synów i córki.
10	5	20	Wszystkich dni Jareda było dziewięćset sześćdziesiąt dwa lata i umarł.
10	5	21	Henoch żył sześćdziesiąt pięć lat i spłodził Matuzalema.
10	5	22	Po spłodzeniu Matuzalema Henoch chodził z Bogiem trzysta lat i spłodził synów i córki.
10	5	23	Wszystkich dni Henocha było trzysta sześćdziesiąt pięć lat.
10	5	24	Henoch chodził z Bogiem, a potem już go nie było, bo Bóg go zabrał.
10	5	25	Matuzalem żył sto osiemdziesiąt siedem lat i spłodził Lameka.
10	5	26	Po spłodzeniu Lameka Matuzalem żył siedemset osiemdziesiąt dwa lata i spłodził synów i córki.
10	5	27	Wszystkich dni Matuzalema było dziewięćset sześćdziesiąt dziewięć lat i umarł.
10	5	28	Lamek żył sto osiemdziesiąt dwa lata i spłodził syna.
10	5	29	I nadał mu imię Noe, mówiąc: Ten nas pocieszy w naszej pracy i w trudzie naszych rąk, z powodu ziemi, którą PAN przeklął.
10	5	30	Po spłodzeniu Noego Lamek żył pięćset dziewięćdziesiąt pięć lat i spłodził synów i córki.
10	5	31	Wszystkich dni Lameka było siedemset siedemdziesiąt siedem lat i umarł.
10	5	32	A gdy Noe miał pięćset lat, spłodził Sema, Chama i Jafeta.
10	6	1	Gdy ludzie zaczęli się mnożyć na ziemi i rodziły im się córki;
10	6	2	Synowie Boży, widząc, że córki ludzkie były piękne, brali sobie za żony wszystkie, które sobie upodobali.
10	6	3	I powiedział PAN: Mój duch nie będzie na zawsze się spierał z człowiekiem, bo jest on ciałem. Będzie więc jego dni sto dwadzieścia lat.
10	6	4	A w tych dniach byli na ziemi olbrzymi; nawet i potem, gdy synowie Boży zbliżali się do córek ludzkich, a one rodziły im synów. To są mocarze, którzy od dawna byli sławnymi mężczyznami.
10	6	5	A gdy PAN widział, że wielka jest niegodziwość ludzi na ziemi i wszystkie zamysły i myśli ich serca były tylko złe po wszystkie dni;
10	6	6	Żałował PAN, że uczynił człowieka na ziemi, i ubolewał nad tym całym sercem.
10	6	7	I PAN powiedział: Zgładzę z powierzchni ziemi człowieka, którego stworzyłem, zarówno człowieka, jak i bydło, zwierzęta pełzające i ptactwo niebieskie, bo żałuję, że ich uczyniłem.
10	6	8	Ale Noe znalazł łaskę w oczach PANA.
10	6	9	To są dzieje rodu Noego: Noe był człowiekiem sprawiedliwym i doskonałym w swoich czasach. I Noe chodził z Bogiem.
10	6	10	A Noe spłodził trzech synów: Sema, Chama i Jafeta.
10	6	11	Ale ziemia zepsuła się w oczach Boga i napełniła się nieprawością.
10	6	12	Wtedy Bóg wejrzał na ziemię, a oto była zepsuta, bo wszelkie ciało wypaczyło swoją drogę na ziemi.
10	6	13	I Bóg powiedział do Noego: Nadszedł koniec wszelkiego ciała przed moim obliczem, bo ziemia przez nie jest pełna nieprawości; wytracę je więc wraz z ziemią.
10	6	14	Zbuduj sobie arkę z drewna gofer, zrobisz w arce przegrody i oblejesz ją wewnątrz i na zewnątrz smołą.
10	6	15	A zbudujesz ją w ten sposób: Długość arki będzie na trzysta łokci, pięćdziesiąt łokci – jej szerokość, a trzydzieści łokci – jej wysokość.
10	6	16	Zrobisz okno w arce, a zakończysz je na łokieć od góry. Drzwi umieścisz z boku arki, zrobisz w niej dolne, drugie i trzecie piętro.
10	6	17	A ja, oto ja sprowadzę potop wód na ziemię, aby wytracić wszelkie ciało, w którym jest tchnienie życia pod niebem. Wszystko, co jest na ziemi, zginie.
10	6	18	Ale z tobą zawrę moje przymierze; i wejdziesz do arki, ty i twoi synowie, i twoja żona, i żony twoich synów z tobą.
10	6	19	I ze wszystkich zwierząt wszelkiego ciała po jednej parze wprowadzisz do arki, aby uchowały się z tobą żywe, będą to samiec i samica.
10	6	20	Z ptactwa według jego rodzaju i z bydła według jego rodzaju, i z wszelkich ziemskich zwierząt pełzających według ich rodzaju, po parze z każdego rodzaju wejdą z tobą, aby żywe zostały.
10	6	21	A ty weźmiesz ze sobą wszelki pokarm, który się nadaje do jedzenia, i zabierzesz do siebie, i będzie tobie i im na pokarm.
10	6	22	I Noe tak uczynił. Zrobił wszystko tak, jak mu Bóg rozkazał.
10	7	1	Potem PAN powiedział do Noego: Wejdź ty wraz z całym twoim domem do arki, gdyż widziałem cię, że jesteś sprawiedliwy przede mną w tym pokoleniu.
10	7	2	Z każdego zwierzęcia czystego weź sobie po siedem par, samca i samicę jego; ale ze zwierząt nieczystych – po jednej parze, samca i samicę jego.
10	7	3	Także z ptactwa niebieskiego po siedem par, samca i samicę, aby zachować przy życiu ich potomstwo na całej powierzchni ziemi.
10	7	4	Pozostaje bowiem jeszcze siedem dni, a potem spuszczę deszcz na ziemię, na czterdzieści dni i czterdzieści nocy, i zgładzę z powierzchni ziemi wszelkie stworzenie, które uczyniłem.
10	7	5	Noe uczynił więc wszystko, co mu PAN rozkazał.
10	7	6	Noe miał sześćset lat, gdy przyszedł potop wód na ziemię.
10	7	7	I wszedł Noe, a z nim jego synowie, jego żona i żony jego synów do arki ze względu na wody potopu.
10	7	8	Ze zwierząt czystych i nieczystych i z ptactwa, i ze wszystkiego, co pełza po ziemi;
10	7	9	Po parze weszło do Noego do arki, samiec i samica, jak Bóg rozkazał Noemu.
10	7	10	A po siedmiu dniach wody potopu spadły na ziemię.
10	7	11	W sześćsetnym roku życia Noego, w drugim miesiącu, siedemnastego dnia tego miesiąca, w tym właśnie dniu, przerwały się wszystkie źródła wielkiej głębi i otworzyły się okna nieba.
10	7	12	I deszcz padał na ziemię czterdzieści dni i czterdzieści nocy.
10	7	13	W tym właśnie dniu weszli do arki Noe oraz jego synowie – Sem, Cham i Jafet, a z nimi żona Noego i trzy żony jego synów.
10	7	14	Oni i wszelkie zwierzęta według swego rodzaju, wszelkie bydło według swego rodzaju, wszelkie zwierzęta pełzające, które pełzają po ziemi według swego rodzaju, wszelkie ptaki według swego rodzaju i wszelkie stworzenia skrzydlate.
10	7	15	I tak weszły do Noego do arki, po parze z każdego ciała, w którym było tchnienie życia.
10	7	16	A te, które weszły, samiec i samica z każdego ciała weszły, jak mu Bóg rozkazał. I zamknął PAN za nim drzwi.
10	7	17	A potop trwał na ziemi czterdzieści dni i wody wezbrały, i podniosły arkę, i unosiła się nad ziemią.
10	7	18	Wody wzmogły się i wezbrały bardzo nad ziemią, i pływała arka po wodach.
10	7	19	I wody bardzo się wzmogły nad ziemią, i zakryły wszystkie wysokie góry, które były pod całym niebem.
10	7	20	Wody wezbrały na piętnaście łokci wzwyż i góry zostały zakryte.
10	7	21	Zginęło więc wszelkie ciało poruszające się na ziemi: ptactwo, bydło, zwierzęta i wszelkie zwierzęta pełzające, które pełzają po ziemi, i wszyscy ludzie.
10	7	22	Wszystko, co miało w nozdrzach tchnienie życia, wszystko, co żyło na suchym lądzie, zginęło.
10	7	23	Tak zostało zgładzone wszelkie stworzenie, które było na powierzchni ziemi, od człowieka aż do bydła, zwierząt pełzających i ptactwa niebieskiego. Wszystko to zostało zgładzone z ziemi. Pozostał tylko Noe i ci, którzy z nim byli w arce.
10	7	24	A wody wezbrały nad ziemią sto pięćdziesiąt dni.
10	8	1	Bóg pamiętał jednak o Noem i wszystkich zwierzętach, i wszelkim bydle, które było z nim w arce, i sprowadził Bóg wiatr na ziemię, a wody zaczęły opadać.
10	8	2	I źródła głębi i okna nieba zamknęły się, i deszcz z nieba został zatrzymany.
10	8	3	Wody stopniowo ustępowały z powierzchni ziemi, a po upływie stu pięćdziesięciu dni wody opadły.
10	8	4	I arka osiadła na górach Ararat w siódmym miesiącu, siedemnastego dnia tego miesiąca.
10	8	5	A wody opadały nadal aż do dziesiątego miesiąca. I w dziesiątym miesiącu, pierwszego dnia, ukazały się szczyty gór.
10	8	6	Po upływie czterdziestu dni Noe otworzył okno arki, które zrobił.
10	8	7	I wypuścił kruka, który wylatywał i wracał, aż wyschły wody na ziemi.
10	8	8	Potem wypuścił gołębicę, aby zobaczyć, czy wody opadły z powierzchni ziemi.
10	8	9	A gdy gołębica nie znalazła dla siebie miejsca spoczynku, wróciła do niego do arki, bo wody były jeszcze na całej powierzchni ziemi. Wyciągnął więc swoją rękę, pochwycił ją i wziął do siebie do arki.
10	8	10	A gdy odczekał jeszcze drugie siedem dni, ponownie wypuścił gołębicę z arki.
10	8	11	I gołębica wróciła do niego pod wieczór, a oto w dziobie zerwany liść oliwny. Tak Noe poznał, że wody opadły z powierzchni ziemi.
10	8	12	Odczekał jeszcze drugie siedem dni i wypuścił gołębicę, ale już do niego nie wróciła.
10	8	13	W sześćset pierwszym roku, w pierwszym miesiącu, pierwszego dnia, wyschły wody na ziemi. Wtedy Noe zdjął przykrycie arki i zobaczył, że powierzchnia ziemi była sucha.
10	8	14	A w drugim miesiącu, dwudziestego siódmego dnia tego miesiąca, wyschła ziemia.
10	8	15	I Bóg powiedział do Noego:
10	8	16	Wyjdź z arki, ty i z tobą twoja żona, twoi synowie i żony twoich synów.
10	8	17	Wyprowadź ze sobą wszystkie zwierzęta, które są z tobą, z wszelkiego ciała, ptactwa, bydła i wszelkich zwierząt pełzających, które pełzają po ziemi, i niech się rozrodzą na ziemi, niech będą płodne i niech się rozmnażają na ziemi.
10	8	18	Wyszedł więc Noe i z nim jego synowie, jego żona i żony jego synów.
10	8	19	Wyszły także z arki wszelkie bydlęta, wszelkie zwierzęta pełzające, wszelkie ptactwo oraz wszystko, co pełza po ziemi, według swoich rodzajów.
10	8	20	Potem Noe zbudował ołtarz dla PANA i wziął z każdego czystego zwierzęcia i z każdego czystego ptactwa, i złożył całopalenia na tym ołtarzu.
10	8	21	I PAN poczuł miłą woń, i PAN powiedział w swoim sercu: Nie będę więcej przeklinał ziemi z powodu człowieka, bo myśl serca człowieka jest zła od jego młodości. Nie wytracę więcej wszystkiego, co żyje, jak teraz uczyniłem.
10	8	22	Póki ziemia będzie trwać, nie ustaną siew i żniwo, zimno i gorąco, lato i zima, dzień i noc.
10	9	1	I Bóg błogosławił Noego i jego synów, i powiedział im: Bądźcie płodni i rozmnażajcie się, i napełniajcie ziemię.
10	9	2	A strach i lęk przed wami będzie nad wszelkim zwierzęciem ziemi, nad wszelkim ptactwem nieba, nad wszystkim, co się porusza na ziemi, i nad wszelkimi rybami morza; oddane są w wasze ręce.
10	9	3	Wszystko, co się porusza i żyje, będzie dla was pokarmem, podobnie jak rośliny zielone, daję wam to wszystko.
10	9	4	Lecz nie będziecie jeść mięsa z jego życiem, to jest z jego krwią.
10	9	5	A ja będę żądał waszej krwi, to jest waszego życia; od każdego zwierzęcia będę jej żądał, jak i od ręki człowieka; od ręki każdego brata jego będę żądał życia człowieka.
10	9	6	Kto przeleje krew człowieka, przez człowieka będzie przelana jego krew, bo na obraz Boga człowiek został stworzony.
10	9	7	Wy zaś bądźcie płodni i rozmnażajcie się; rozradzajcie się na ziemi i rozmnażajcie się na niej.
10	9	8	Potem Bóg powiedział do Noego i do jego synów z nim:
10	9	9	A ja, oto ja ustanawiam moje przymierze z wami i z waszym potomstwem po was;
10	9	10	I z wszelką żywą istotą, która jest z wami, z ptactwem, bydłem oraz z wszelkim zwierzęciem ziemi, które jest z wami, od wszystkich, które wyszły z arki, aż do każdego zwierzęcia ziemi.
10	9	11	Ustanowię moje przymierze z wami. Nie będzie już więcej zgładzone wszelkie ciało wodami potopu ani nie będzie już więcej potopu, który miałby zniszczyć ziemię.
10	9	12	I Bóg powiedział: To jest znak przymierza, które ja ustanawiam między mną a wami i między wszelką żywą istotą, która jest z wami, na wieczne pokolenia.
10	9	13	Kładę na obłoku mój łuk, który będzie na znak przymierza między mną a ziemią.
10	9	14	I stanie się, gdy wzbudzę obłok nad ziemią, że ukaże się łuk na obłoku;
10	9	15	I wspomnę na moje przymierze, które jest między mną a wami oraz wszelką żywą istotą cielesną. Nie będzie już więcej wód potopu, który miałby zniszczyć wszelkie ciało.
10	9	16	Będzie więc ten łuk na obłoku i spojrzę na niego, aby przypomnieć sobie wieczne przymierze między Bogiem a wszelką żywą istotą cielesną, która jest na ziemi.
